gene	uniprot_chig_id	annot_rank	ko_id	kegg_hit	pfam_hits	chig_description	identified_in_proteomics	unique_onetenth	in_model	detected_in_mplex	ko_all	ec_ko_source	ec_number	ec_source
gene_1054	tr|A0A1B7XWJ2|A0A1B7XWJ2_COLHI	D			BNR repeat-containing family member [PF15892.8]	Dockerin type 1	YES	False	False	True				
gene_10548	tr|H1VHJ8|H1VHJ8_COLHI	D			Survival protein SurE [PF01975.20]	5'/3'-nucleotidase SurE	YES	False	False	True				
gene_10558	tr|A0A1B7YJ15|A0A1B7YJ15_COLHI	D			Nucleosome assembly protein (NAP) [PF00956.21]	Nap family protein	YES	False	False	True				
gene_10561	tr|H1V763|H1V763_COLHI	E				Universal stress protein family	YES	False	False	True				
gene_10568	tr|A0A1B7XTA7|A0A1B7XTA7_COLHI	E				Aspartate aminotransferase protein	YES	False	False	True				
gene_10575	tr|H1V5B5|H1V5B5_COLHI	E				DUF4097 domain-containing protein	YES	False	False	True				
gene_10576	tr|A0A1B7Y3W0|A0A1B7Y3W0_COLHI	D			Dienelactone hydrolase family [PF01738.21]	Dienelactone hydrolase	YES	False	False	True				
gene_10578	tr|A0A1B7YBE8|A0A1B7YBE8_COLHI	D			SRP40, C-terminal domain [PF05022.15]	SRP40 domain-containing protein	YES	False	False	True				
gene_10580	tr|A0A1B7YDQ5|A0A1B7YDQ5_COLHI	D			Amidase [PF01425.24]	Amidase	YES	False	False	True				
gene_10590	tr|A0A1B7YJ41|A0A1B7YJ41_COLHI	D			Rox3 mediator complex subunit [PF08633.13]	Mediator of RNA polymerase II transcription subunit 19	YES	False	False	True				
gene_153	tr|H1W290|H1W290_COLHI	D			Protein of unknown function (DUF2855) [PF11017.11]	Uncharacterized protein	YES	False	False	True				
gene_10612	tr|H1VRI6|H1VRI6_COLHI	D			Acyl CoA binding protein [PF00887.22]	Acyl CoA binding protein	YES	False	True	True	K08762	kofam		
gene_10616	tr|A0A1B7YMC4|A0A1B7YMC4_COLHI	D			NAD dependent epimerase/dehydratase family [PF01370.24]; GDP-mannose 4,6 dehydratase [PF16363.8]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; RmlD substrate binding domain [PF04321.20]; Male sterility protein [PF07993.15]; Polysaccharide biosynthesis protein [PF02719.18]	NAD dependent epimerase/dehydratase	YES	False	False	True				
gene_10617	tr|H1VDC0|H1VDC0_COLHI	D			NADH:flavin oxidoreductase / NADH oxidase family [PF00724.23]	NADH:flavin oxidoreductase/NADH oxidase	YES	False	True	True				
gene_10633	tr|A0A1B7YM40|A0A1B7YM40_COLHI	D			Myb-like DNA-binding domain [PF00249.34]; Myb-like DNA-binding domain [PF13921.9]	MYB DNA-binding domain-containing protein	YES	False	False	True				
gene_10634	tr|A0A1B7YIN3|A0A1B7YIN3_COLHI	E				Cell wall protein PhiA	YES	False	False	True				
gene_10650	tr|H1UWL2|H1UWL2_COLHI	D			Glutathione-dependent formaldehyde-activating enzyme [PF04828.17]	Glutathione-dependent formaldehyde-activating enzyme	YES	False	False	True				
gene_10654	tr|H1UY13|H1UY13_COLHI	D			NAD(P)H-binding [PF13460.9]; RmlD substrate binding domain [PF04321.20]	NAD-dependent epimerase/dehydratase	YES	False	False	True				
gene_10655	tr|A0A1B7XZJ1|A0A1B7XZJ1_COLHI	E				PAP2 superfamily protein	YES	False	False	True				
gene_10659	tr|A0A1B7YPK0|A0A1B7YPK0_COLHI	E				Pentatricopeptide repeat protein	YES	False	False	True				
gene_10661	tr|H1VD65|H1VD65_COLHI	D			RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) [PF00076.25]; Helix-loop-helix DNA-binding domain [PF00010.29]; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) [PF13893.9]	Helix-loop-helix DNA-binding domain-containing protein	YES	False	False	True				
gene_10665	tr|A0A1B7Y3H7|A0A1B7Y3H7_COLHI	D			GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; Polysaccharide biosynthesis protein [PF02719.18]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Male sterility protein [PF07993.15]	NAD dependent epimerase/dehydratase	YES	False	False	False				
gene_10673	tr|H1V135|H1V135_COLHI	D			Methyltransferase domain [PF13649.9]; Mycolic acid cyclopropane synthetase [PF02353.23]; Methyltransferase domain [PF13847.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13489.9]; O-methyltransferase domain [PF00891.21]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Methyltransferase small domain [PF05175.17]; Nodulation protein S (NodS) [PF05401.14]; Tellurite resistance protein TehB [PF03848.17]	Methyltransferase	YES	False	False	True				
gene_1102	tr|H1UZF2|H1UZF2_COLHI	D			Protein of unknown function (DUF3237) [PF11578.11]	Uncharacterized protein	YES	True	False	True				
gene_10685	tr|A0A1B7YSY9|A0A1B7YSY9_COLHI	E				Intracellular serine protease	YES	False	False	True				
gene_10688	tr|H1VHD3|H1VHD3_COLHI	D			NUC153 domain [PF08159.15]	Pre-rRNA-processing protein ESF1	YES	False	False	True				
gene_10689	tr|H1VQ87|H1VQ87_COLHI	D			GMC oxidoreductase [PF00732.22]; GMC oxidoreductase [PF05199.16]	GMC oxidoreductase	YES	False	False	True				
gene_10704	tr|A0A1B7YPH3|A0A1B7YPH3_COLHI	D			Phosphatidylinositol-specific phospholipase C, Y domain [PF00387.22]; Phosphatidylinositol-specific phospholipase C, X domain [PF00388.22]	Phosphoinositide phospholipase C	YES	False	True	True				
gene_10708	tr|H1VBM2|H1VBM2_COLHI	D			Fasciclin domain [PF02469.25]	Fasciclin domain-containing protein	YES	False	False	True				
gene_10711	tr|A0A1B7XVU9|A0A1B7XVU9_COLHI	D			Protein of unknown function (DUF3455) [PF11937.11]	Malate dehydrogenase	YES	False	False	True				
gene_10713	tr|H1UY14|H1UY14_COLHI	D			Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF13847.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Mycolic acid cyclopropane synthetase [PF02353.23]	Methyltransferase domain-containing protein	YES	False	False	True				
gene_10724	tr|A0A1B7YM17|A0A1B7YM17_COLHI	D			D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.22]; D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain [PF00389.33]	D-isomer specific 2-hydroxyacid dehydrogenase	YES	False	False	True				
gene_10733	tr|A0A1B7Y5D8|A0A1B7Y5D8_COLHI	D			Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]	Short-chain dehydrogenase/reductase family Oxidoreductase	YES	False	False	True				
gene_10736	tr|A0A1B7XWR9|A0A1B7XWR9_COLHI	D			CFEM domain [PF05730.14]	CFEM domain-containing protein	YES	False	False	True				
gene_10738	tr|A0A1B7XX63|A0A1B7XX63_COLHI	E				Secreted protein	YES	False	False	True				
gene_10740	tr|A0A1B7YI85|A0A1B7YI85_COLHI	D			Fungal specific transcription factor domain [PF04082.21]; Fungal Zn(2)-Cys(6) binuclear cluster domain [PF00172.21]	Fungal specific transcription factor domain-containing protein	YES	False	False	True				
gene_10744	tr|H1VBD8|H1VBD8_COLHI	E				Kelch domain-containing protein	YES	False	False	True				
gene_3073	tr|H1VNQ6|H1VNQ6_COLHI	D			Protein of unknown function (DUF3237) [PF11578.11]	Uncharacterized protein	YES	False	False	True				
gene_10762	tr|H1VPN9|H1VPN9_COLHI	D			Protein of unknown function (DUF3074) [PF11274.11]	DUF3074 domain-containing protein	YES	False	False	True				
gene_1077	tr|A0A1B7YGF8|A0A1B7YGF8_COLHI	D			FAD binding domain [PF01494.22]; NAD(P)-binding Rossmann-like domain [PF13450.9]; Flavin-binding monooxygenase-like [PF00743.22]; HI0933-like protein [PF03486.17]	FAD dependent oxidoreductase	YES	False	False	True				
gene_10771	tr|A0A1B7YU45|A0A1B7YU45_COLHI	D			Chitin synthesis regulation, resistance to Congo red [PF12273.11]	Protein RCR2	YES	False	False	True	K28545	kofam		
gene_10772	tr|H1V9Q7|H1V9Q7_COLHI	D			Etoposide-induced protein 2.4 (EI24) [PF07264.14]	Outer spore wall protein RRT8	YES	False	False	False				
gene_10786	tr|A0A1B7YEC1|A0A1B7YEC1_COLHI	E				Fungal specific transcription factor domain-containing protein	YES	False	False	True				
gene_1079	tr|H1V0K5|H1V0K5_COLHI	D			Cytochrome P450 [PF00067.25]	Trichodiene oxygenase	YES	False	False	True				
gene_10790	tr|A0A1B7Y1U0|A0A1B7Y1U0_COLHI	E				KH domain-containing protein	YES	False	False	True				
gene_11105	tr|A0A1B7YX04|A0A1B7YX04_COLHI	D			Protein of unknown function (DUF3237) [PF11578.11]	Uncharacterized protein	YES	False	False	True				
gene_10795	tr|H1W0Q4|H1W0Q4_COLHI	E				FAD dependent oxidoreductase	YES	False	False	True				
gene_10804	tr|H1VKZ7|H1VKZ7_COLHI	E				Allergen	YES	False	False	True				
gene_1081	tr|H1VFI9|H1VFI9_COLHI	D			short chain dehydrogenase [PF00106.28]; Enoyl-(Acyl carrier protein) reductase [PF13561.9]	Short-chain dehydrogenase	YES	False	False	True				
gene_10818	tr|H1UVV9|H1UVV9_COLHI	D			Putative nuclear envelope organisation protein [PF10281.12]	Stress response protein	YES	False	False	True				
gene_10826	tr|A0A1B7YAG7|A0A1B7YAG7_COLHI	E				Acid phosphatase-like protein	YES	False	False	True				
gene_10827	tr|H1VRJ2|H1VRJ2_COLHI	E				BTB domain transcription factor	YES	False	False	True				
gene_10829	tr|A0A1B7Y4U4|A0A1B7Y4U4_COLHI	E				DUF7357 domain-containing protein	YES	False	False	True				
gene_10830	tr|H1V0H8|H1V0H8_COLHI	D			Protein kinase domain [PF00069.28]; Protein tyrosine and serine/threonine kinase [PF07714.20]; ABC-type uncharacterized transport system [PF09822.12]; Hr1 repeat [PF02185.19]; Phorbol esters/diacylglycerol binding domain (C1 domain) [PF00130.25]; Protein kinase C terminal domain [PF00433.27]; Kinase-like [PF14531.9]; Fungal protein kinase [PF17667.4]	Protein kinase C-like	YES	False	False	True				
gene_10851	tr|H1VH51|H1VH51_COLHI	D			DJ-1/PfpI family [PF01965.27]	DJ-1/PfpI family protein	YES	False	False	True				
gene_10852	tr|H1VKU8|H1VKU8_COLHI	D			Family of unknown function (DUF5923) [PF19343.2]; Protein of unknown function (DUF4449) [PF14613.9]	HAM1-like N-terminal domain-containing protein	YES	False	False	True				
gene_10855	tr|A0A1B7XVE6|A0A1B7XVE6_COLHI	D			Histidine phosphatase superfamily (branch 1) [PF00300.25]	Phosphoglycerate mutase	YES	False	True	True				
gene_10863	tr|A0A1B7XSB4|A0A1B7XSB4_COLHI	D			Inosine-uridine preferring nucleoside hydrolase [PF01156.22]	Inosine/uridine-preferring nucleoside hydrolase	YES	False	False	True				
gene_1087	tr|A0A1B7YB10|A0A1B7YB10_COLHI	D			Riboflavin kinase [PF01687.20]	Riboflavin kinase	YES	False	True	True				
gene_10870	tr|A0A1B7YN52|A0A1B7YN52_COLHI	D			Family of unknown function (DUF5923) [PF19343.2]; Protein of unknown function (DUF4449) [PF14613.9]	Bactericidal permeability-increasing protein	YES	False	False	True				
gene_1088	tr|H1VXD8|H1VXD8_COLHI	D			2-oxoacid dehydrogenases acyltransferase (catalytic domain) [PF00198.26]; Biotin-requiring enzyme [PF00364.25]	Acetyltransferase component of pyruvate dehydrogenase complex	YES	False	True	True				
gene_10881	tr|A0A1B7YAX2|A0A1B7YAX2_COLHI	D			Protein of unknown function (DUF1264) [PF06884.14]	Duf1264 domain protein	YES	False	False	True				
gene_10893	tr|A0A1B7XZ99|A0A1B7XZ99_COLHI	D			Histidine phosphatase superfamily (branch 2) [PF00328.25]	Histidine acid phosphatase	YES	False	False	True				
gene_10898	tr|A0A1B7YEG8|A0A1B7YEG8_COLHI	D			SH3 domain [PF00018.31]; Variant SH3 domain [PF14604.9]; Variant SH3 domain [PF07653.20]	SH3 domain-containing protein	YES	False	False	True				
gene_10900	tr|A0A1B7Y9L5|A0A1B7Y9L5_COLHI	E				C3H1-type domain-containing protein	YES	False	False	True				
gene_10909	tr|A0A1B7YGU6|A0A1B7YGU6_COLHI	D			Integral peroxisomal membrane peroxin [PF06398.14]	Integral peroxisomal membrane peroxin	YES	False	False	True				
gene_10915	tr|A0A1B7YT82|A0A1B7YT82_COLHI	D			ATPase family associated with various cellular activities (AAA) [PF00004.32]; AAA domain (dynein-related subfamily) [PF07728.17]	ATPase	YES	False	False	True				
gene_10921	tr|H1VU02|H1VU02_COLHI	D			MAPEG family [PF01124.21]	Membrane protein	YES	False	False	True				
gene_10922	tr|H1VF69|H1VF69_COLHI	D			Zinc-finger containing family [PF15663.8]	Spindle poison sensitivity protein	YES	False	False	True				
gene_10928	tr|A0A1B7XT36|A0A1B7XT36_COLHI	D			Spermine/spermidine synthase domain [PF01564.20]	Spermine/spermidine synthase	YES	False	False	True				
gene_10933	tr|H1V6F0|H1V6F0_COLHI	D			alpha/beta hydrolase fold [PF00561.23]	Ctr copper transporter family protein	YES	False	False	True				
gene_10944	tr|H1VAF1|H1VAF1_COLHI	D			Integral membrane protein DUF92 [PF01940.19]	Integral membrane protein DUF92	YES	False	False	True	K04070	kofam	1.97.1.4	kofam/xlsx->KEGG
gene_10954	tr|A0A1B7YW73|A0A1B7YW73_COLHI	D			NAD dependent epimerase/dehydratase family [PF01370.24]	NAD dependent epimerase/dehydratase	YES	False	False	True				
gene_10955	tr|H1VS02|H1VS02_COLHI	D			Aldehyde dehydrogenase family [PF00171.25]	aldehyde dehydrogenase (NAD(+))	YES	False	True	True				
gene_10959	tr|A0A1B7XV36|A0A1B7XV36_COLHI	D			Histone chaperone domain CHZ [PF09649.13]	Histone chaperone domain CHZ	YES	False	False	True				
gene_10967	tr|A0A1B7YRC3|A0A1B7YRC3_COLHI	D			FAD binding domain [PF01565.26]	FAD binding domain-containing protein	YES	False	False	True				
gene_10977	tr|A0A1B7Y6U0|A0A1B7Y6U0_COLHI	D			Multicopper oxidase [PF07731.17]; Multicopper oxidase [PF07732.18]; Multicopper oxidase [PF00394.25]	laccase	YES	False	False	True				
gene_10982	tr|A0A1B7Y7D8|A0A1B7Y7D8_COLHI	D			Alcohol dehydrogenase GroES-like domain [PF08240.15]; Zinc-binding dehydrogenase [PF00107.29]; Glucose dehydrogenase C-terminus [PF16912.8]; Alcohol dehydrogenase GroES-associated [PF13823.9]	Alcohol dehydrogenase GroES-like domain-containing protein	YES	False	True	True				
gene_10983	tr|A0A1B7YMY5|A0A1B7YMY5_COLHI	D			Family of unknown function (DUF5519) [PF17648.4]	Luciferase domain-containing protein	YES	False	False	True				
gene_12376	tr|A0A1B7XUA1|A0A1B7XUA1_COLHI	D			Protein of unknown function (DUF3292) [PF11696.11]	Uncharacterized protein	YES	False	True	True				
gene_10990	tr|H1VKE2|H1VKE2_COLHI	D			Protein of unknown function (DUF1275) [PF06912.14]	Duf1275 domain protein	YES	False	False	True				
gene_10999	tr|A0A1B7YIF0|A0A1B7YIF0_COLHI	D			COMPASS (Complex proteins associated with Set1p) component shg1 [PF05205.15]; Pre-mRNA-splicing factor 38-associated hydrophilic C-term [PF12871.10]	Arginine rich protein	YES	False	False	True				
gene_110	tr|H1VJM0|H1VJM0_COLHI	D			Glycosyl hydrolase family 63 C-terminal domain [PF03200.19]; RasGEF domain [PF00617.22]; Ras family [PF00071.25]; RasGEF N-terminal motif [PF00618.23]	Mannosyl-oligosaccharide glucosidase	YES	False	False	True				
gene_11015	tr|H1V736|H1V736_COLHI	D			Mycolic acid cyclopropane synthetase [PF02353.23]; Methyltransferase domain [PF13847.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08242.15]; Methyltransferase small domain [PF05175.17]; Tellurite resistance protein TehB [PF03848.17]; Methionine biosynthesis protein MetW [PF07021.15]; Methyltransferase domain [PF13679.9]; tRNA methyltransferase complex GCD14 subunit [PF08704.13]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]	Sterol 24-C-methyltransferase	YES	False	False	True				
gene_11017	tr|H1V7E6|H1V7E6_COLHI	E				SnoaL-like domain-containing protein	YES	False	False	True				
gene_11021	tr|A0A1B7Y426|A0A1B7Y426_COLHI	D			CENP-Q, a CENPA-CAD centromere complex subunit [PF13094.9]	Kinetochore protein fta7	YES	False	False	True				
gene_11027	tr|H1VAR2|H1VAR2_COLHI	D			Sugar (and other) transporter [PF00083.27]	Hexose transporter	YES	False	False	True				
gene_3971	tr|A0A1B7YGH0|A0A1B7YGH0_COLHI	D			Protein of unknown function (DUF3292) [PF11696.11]	Uncharacterized protein	YES	False	False	True				
gene_11034	tr|A0A1B7XZ81|A0A1B7XZ81_COLHI	D			TRAPP trafficking subunit Trs65 [PF12735.10]	Trafficking protein particle complex II-specific subunit 65 IgD3 domain-containing protein	YES	False	False	True				
gene_11036	tr|A0A1B7Y0B4|A0A1B7Y0B4_COLHI	D			CFEM domain [PF05730.14]	CFEM domain-containing protein	YES	False	False	True				
gene_11040	tr|A0A1B7YI36|A0A1B7YI36_COLHI	D			NAD dependent epimerase/dehydratase family [PF01370.24]; GDP-mannose 4,6 dehydratase [PF16363.8]; NmrA-like family [PF05368.16]; RmlD substrate binding domain [PF04321.20]	NAD dependent epimerase/dehydratase	YES	False	False	True				
gene_1105	tr|H1UY10|H1UY10_COLHI	D			Protein of unknown function (DUF3128) [PF11326.11]	Early meiotic induction protein 1	YES	False	False	True				
gene_11058	tr|H1V0M5|H1V0M5_COLHI	D			Flavin-binding monooxygenase-like [PF00743.22]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase [PF13434.9]; NAD(P)-binding Rossmann-like domain [PF13450.9]; FAD binding domain [PF01494.22]; FAD-NAD(P)-binding [PF13454.9]	Thiol-specific monooxygenase	YES	False	False	True				
gene_11060	tr|H1V6H2|H1V6H2_COLHI	E				RRM domain-containing protein	YES	False	False	True				
gene_11061	tr|A0A1B7YG16|A0A1B7YG16_COLHI	D			Carbon-nitrogen hydrolase [PF00795.25]	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase	YES	False	True	True	K01501	kofam	3.5.5.1	kofam/xlsx->KEGG
gene_11062	tr|A0A1B7YWW1|A0A1B7YWW1_COLHI	D			Zinc-binding dehydrogenase [PF00107.29]; Alcohol dehydrogenase GroES-like domain [PF08240.15]	Zinc-binding dehydrogenase	YES	False	True	True				
gene_11069	tr|H1VMA5|H1VMA5_COLHI	E				EC91 protein	YES	False	False	True				
gene_11072	tr|A0A1B7YEJ5|A0A1B7YEJ5_COLHI	D			Guanine nucleotide exchange factor synembryn [PF10165.12]	Guanine nucleotide exchange factor synembryn	YES	False	False	True				
gene_1108	tr|A0A1B7YFA7|A0A1B7YFA7_COLHI	D			Glutathione-dependent formaldehyde-activating enzyme [PF04828.17]	Beta-xylosidase	YES	False	False	True				
gene_9527	tr|A0A1B7YFV5|A0A1B7YFV5_COLHI	D			Protein of unknown function (DUF3433) [PF11915.11]	Uncharacterized protein	YES	False	False	True				
gene_11081	tr|H1W2N1|H1W2N1_COLHI	D			Heterokaryon incompatibility protein (HET) [PF06985.14]	Lea domain protein	YES	False	False	True				
gene_11090	tr|A0A1B7YJG3|A0A1B7YJG3_COLHI	D			Questin oxidase-like [PF14027.9]	HypA protein	YES	False	False	True				
gene_11091	tr|H1VUE0|H1VUE0_COLHI	D			G-patch domain [PF12656.10]	Pre-mRNA-splicing factor	YES	False	False	True	K28512	kofam		
gene_11099	tr|A0A1B7YU54|A0A1B7YU54_COLHI	D			STIMATE family [PF12400.11]	Vacuolar membrane protein	YES	False	False	True				
gene_11106	tr|A0A1B7Y4H4|A0A1B7Y4H4_COLHI	D			Metallopeptidase family M24 [PF00557.27]	Metallopeptidase family M24	YES	False	False	True				
gene_11109	tr|A0A1B7YUG3|A0A1B7YUG3_COLHI	D			Domain of unknown function (DUF1932) [PF09130.14]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.18]	6-phosphogluconate dehydrogenase	YES	False	True	True	K02136	kofam		
gene_11127	tr|H1VWD4|H1VWD4_COLHI	D			Stress responsive A/B Barrel Domain [PF07876.15]	Stress responsive A/B Barrel domain-containing protein	YES	False	False	True				
gene_11145	tr|A0A1B7Y5H0|A0A1B7Y5H0_COLHI	D			Amidohydrolase family [PF01979.23]; Amidohydrolase family [PF07969.14]	Amidohydrolase	YES	False	False	True				
gene_11149	tr|A0A1B7YCB2|A0A1B7YCB2_COLHI	D			Glycine-rich domain-containing protein-like [PF07173.15]	Alpha-ketoglutarate-dependent sulfonate dioxygenase	YES	False	False	True				
gene_11158	tr|H1UYA0|H1UYA0_COLHI	D			CASC3/Barentsz eIF4AIII binding [PF09405.13]	Upf0052 domain containing protein	YES	False	False	True				
gene_11187	tr|A0A1B7YA79|A0A1B7YA79_COLHI	D			Glycosyl hydrolases family 35 [PF01301.22]; Beta-galactosidase, domain 2 [PF10435.12]; Beta-galactosidase jelly roll domain [PF13364.9]; Beta-galactosidase, domain 3 [PF13363.9]	beta-galactosidase	YES	False	False	True				
gene_2281	tr|H1V7L9|H1V7L9_COLHI	D			Protein of unknown function (DUF3602) [PF12223.11]	Uncharacterized protein	YES	False	False	True				
gene_11195	tr|A0A1B7XVG2|A0A1B7XVG2_COLHI	D			NAD(P)-binding Rossmann-like domain [PF13450.9]	UDP-galactopyranose mutase	YES	False	False	True	K28214	kofam	5.4.99.9	kofam/xlsx->KEGG
gene_11205	tr|H1VKM8|H1VKM8_COLHI	D			Phosducin [PF02114.19]	Phosducin	YES	False	False	True	K28206	kofam		
gene_11211	tr|H1V7A1|H1V7A1_COLHI	D			Fungal specific transcription factor domain [PF04082.21]; Fungal Zn(2)-Cys(6) binuclear cluster domain [PF00172.21]	Nitrate assimilation regulatory protein nira-like protein	YES	False	False	True				
gene_11217	tr|H1VX81|H1VX81_COLHI	E				Urease accessory protein	YES	False	False	True				
gene_11220	tr|A0A1B7YLV1|A0A1B7YLV1_COLHI	E				Transcriptional regulator medusa-like protein	YES	False	False	True				
gene_11221	tr|A0A1B7YEI7|A0A1B7YEI7_COLHI	D			Protein of unknown function (DUF3500) [PF12006.11]	NAD(P)-binding protein	YES	False	False	True				
gene_11225	tr|H1W2Q4|H1W2Q4_COLHI	D			Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region [PF00645.21]	Protein kinase rad3-like protein	YES	False	False	True				
gene_11234	tr|A0A1B7Y5K0|A0A1B7Y5K0_COLHI	D			Domain of unknwon function (DUF3824) [PF12868.10]	DUF3824 domain-containing protein	YES	False	False	True				
gene_11240	tr|A0A1B7YRH8|A0A1B7YRH8_COLHI	D			NFACT protein RNA binding domain [PF05670.16]	Coiled-coil domain-containing protein 25	YES	False	False	True	K26405	kofam		
gene_11241	tr|H1VL21|H1VL21_COLHI	D			Protein of unknown function (DUF3140) [PF11338.11]; Hypervirulence associated proteins TUDOR domain [PF11160.11]	DNA-binding protein	YES	False	False	True				
gene_11243	tr|A0A1B7XRJ5|A0A1B7XRJ5_COLHI	D			Gef2-related medial cortical node protein Nod1 [PF17114.8]; Bud3, N-terminal [PF12015.11]; RhoGEF domain [PF00621.23]	RhoGEF domain-containing protein	YES	False	False	True				
gene_11247	tr|A0A1B7YVS0|A0A1B7YVS0_COLHI	D			HAD domain family 1 in Swiss Army Knife RNA repair proteins [PF10307.12]	Tat pathway signal sequence	YES	False	False	True				
gene_5222	tr|A0A1B7YTS2|A0A1B7YTS2_COLHI	D			Protein of unknown function (DUF3602) [PF12223.11]	Uncharacterized protein	YES	False	False	True				
gene_11257	tr|A0A1B7Y9E7|A0A1B7Y9E7_COLHI	D			short chain dehydrogenase [PF00106.28]; Enoyl-(Acyl carrier protein) reductase [PF13561.9]	Short chain dehydrogenase	YES	False	False	True				
gene_11271	tr|A0A1B7YGG6|A0A1B7YGG6_COLHI	D			Uncharacterized protein conserved in bacteria (DUF2264) [PF10022.12]	DUF2264 domain-containing protein	YES	False	False	True				
gene_11279	tr|H1V3B5|H1V3B5_COLHI	D			Meiotic cell cortex C-terminal pleckstrin homology [PF12814.10]	PH domain-containing protein	YES	False	False	True				
gene_1128	tr|H1V217|H1V217_COLHI	E				Ring-like domain-containing protein	YES	False	False	True				
gene_1129	tr|A0A1B7YTS8|A0A1B7YTS8_COLHI	D			Kre9/KNH-like N-terminal Ig-like domain [PF10342.12]	Extracellular serine-threonine rich protein	YES	False	False	True				
gene_11292	tr|A0A1B7YR92|A0A1B7YR92_COLHI	D			Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; Response regulator receiver domain [PF00072.27]; His Kinase A (phospho-acceptor) domain [PF00512.28]	histidine kinase	YES	False	False	True				
gene_11302	tr|H1VPD0|H1VPD0_COLHI	D			FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.31]	peptidylprolyl isomerase	YES	False	False	True				
gene_11303	tr|A0A1B7XW44|A0A1B7XW44_COLHI	D			Calpain family cysteine protease [PF00648.24]	Thiol protease	YES	False	False	True				
gene_11311	tr|A0A1B7XVS9|A0A1B7XVS9_COLHI	E				Hisactophilin c49s mutant phototropin phy3 fusion protein	YES	False	False	True				
gene_11339	tr|A0A1B7XXQ7|A0A1B7XXQ7_COLHI	D			TAP-like protein [PF08386.13]; Zinc-binding dehydrogenase [PF13602.9]; alpha/beta hydrolase fold [PF00561.23]	Zinc-binding dehydrogenase	YES	False	False	True				
gene_11340	tr|A0A1B7YUL9|A0A1B7YUL9_COLHI	D			GDSL-like Lipase/Acylhydrolase family [PF13472.9]	GDSL-like Lipase/Acylhydrolase	YES	False	False	True				
gene_11352	tr|A0A1B7YQU7|A0A1B7YQU7_COLHI	D			Glyoxalase-like domain [PF13468.9]	Glyoxalase	YES	False	False	True				
gene_11355	tr|H1W2Y4|H1W2Y4_COLHI	D			RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) [PF00076.25]	RNA recognition domain-containing protein	YES	False	False	True				
gene_11364	tr|A0A1B7XV17|A0A1B7XV17_COLHI	D			HOOK domain [PF19047.3]; HOOK protein coiled-coil region [PF05622.15]	Microtubule binding protein	YES	False	False	True				
gene_12342	tr|A0A1B7YRY1|A0A1B7YRY1_COLHI	D			Protein of unknown function (DUF3632) [PF12311.11]	Uncharacterized protein	YES	False	False	True				
gene_11374	tr|H1VII5|H1VII5_COLHI	D			Fungal specific transcription factor domain [PF04082.21]; Fungal Zn(2)-Cys(6) binuclear cluster domain [PF00172.21]	C6 finger domain-containing protein	YES	False	False	True				
gene_11377	tr|A0A1B7Y609|A0A1B7Y609_COLHI	D			First Longin domain of INTU, CCZ1 and HPS4 [PF19031.3]	CCZ1/INTU/HSP4 first Longin domain-containing protein	YES	False	False	True				
gene_11383	tr|H1W014|H1W014_COLHI	D			Seed maturation protein [PF04927.15]	Seed maturation protein	YES	False	False	True				
gene_11390	tr|A0A1B7Y0X5|A0A1B7Y0X5_COLHI	D			Family of unknown function (DUF6595) [PF20238.1]	Copper acquisition factor BIM1-like domain-containing protein	YES	False	False	True				
gene_11397	tr|A0A1B7Y4Q9|A0A1B7Y4Q9_COLHI	E				RBR-type E3 ubiquitin transferase	YES	False	False	True				
gene_3278	tr|A0A1B7YEG3|A0A1B7YEG3_COLHI	D			Protein of unknown function (DUF3632) [PF12311.11]	Uncharacterized protein	YES	False	False	True				
